Jan 13, 2026 5:44:59 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/rachelfong/Documents/GitHub/OSGi_TnG_CBSE/apache-karaf-4.4.9/lock
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 13, 2026 5:44:59 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.4.9
2026-01-13T17:45:00,402 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.4.9
2026-01-13T17:45:00,403 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.4.9
2026-01-13T17:45:00,403 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.4.9
2026-01-13T17:45:00,403 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.4.9
2026-01-13T17:45:00,403 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.4.9
2026-01-13T17:45:00,403 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.sshd/sshd-osgi/2.15.0
2026-01-13T17:45:00,403 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.sshd/sshd-scp/2.15.0
2026-01-13T17:45:00,403 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.apache.sshd/sshd-sftp/2.15.0
2026-01-13T17:45:00,403 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.jline/jline/3.30.6
2026-01-13T17:45:00,403 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.6.17/jar/uber
2026-01-13T17:45:00,404 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 | Installing bundles:
2026-01-13T17:45:00,404 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   mvn:org.bouncycastle/bcpkix-jdk18on/1.83
2026-01-13T17:45:00,410 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   mvn:org.bouncycastle/bcprov-jdk18on/1.83
2026-01-13T17:45:00,420 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   mvn:org.bouncycastle/bcutil-jdk18on/1.83
2026-01-13T17:45:00,423 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2026-01-13T17:45:00,425 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.9 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
